num_pedido;cpf_cliente;status;valor_total;dt_pedido;canal
67165;216.275.733-80;pg;301.01;2025-01-14;App 
50305;995.091.814-63;pago ;682,04;2025-02-26;App 
57970;469.707.119-00;CANCELADO;3311.41;2025-01-13;marketplace
55717;335.784.370-69;pago;1.677,02;07/03/2024;SITE
66453;36365905025;pg;26.96;2024-10-24;SITE
69148;84465248806;PENDENTE;3199.46;2026-04-15;app
58842;64620667250;pendente;1.456,40;08/11/2024;marketplace
57715;898.217.449-40;cancelado;2.670,17;06/07/2024;marketplace
62139;499.610.779-03;CANCELADO;381,42;2024-06-03;App 
65257;128.844.142-82;pendente;1.664,95;2024-05-29;site
55741;554.753.964-34;PAGO;228,59;2024-04-24;app
61267;854.040.261-03;PAGO;1.345,88;2025-10-28;marketplace
60497;500.430.897-71;pago;2995.17;17/04/2026;App 
66408;380.476.778-88;pago ;1.591,01;2024-06-04;SITE
61450;46422559232;enviado;271,96;15/03/2026;site
55693;070.247.485-16;cancelado;66,14;18/06/2026;site
50869;280.123.428-12;CANCELADO;3.407,81;22/11/2024;app
65611;272.929.428-73;cancelado;3.412,73;31/12/2024;app
62478;79927156081;pago ;601,14;06/11/2025;marketplace
52031;00381463478;PAGO;215,35;2024-04-13;app
55933;107.524.003-47;ENVIADO;330,14;2025-04-09;app
53459;272.038.862-98;canc;2293.96;13/02/2026;marketplace
53488;22097646530;canc;2.676,02;2024-04-05;app
59016;18328113791;ENVIADO;332,72;2024-05-14;SITE
69053;82355263795;ENVIADO;1633.50;12/03/2025;marketplace
57899;21598056026;cancelado;2.268,79;2025-01-19;marketplace
60575;310.166.366-01;canc;2077.74;01/09/2025;app
67383;53542372463;ENVIADO;3495.51;05/03/2025;app
62792;691.161.646-87;enviado;2.962,42;2026-04-26;site
57337;64138367098;pendente;97,66;2025-03-07;site
58009;03011411778;PAGO;1.907,80;2024-03-13;site
62276;13696816400;pg;2.982,27;2026-04-13;site
54688;097.545.105-71;pago ;864.84;2025-06-22;site
58344;66678507207;canc;2730.71;2025-03-20;SITE
58041;39824553835;enviado;70,15;28/05/2026;marketplace
59603;35884549008;pendente;1285.01;16/01/2025;App 
66055;28873449603;pago;2635.93;2024-11-01;SITE
57480;95130745523;cancelado;3184.59;2026-06-05;app
62876;432.674.846-00;pg;1.455,89;2026-03-14;SITE
67580;908.557.657-12;enviado;2.220,46;2025-01-22;app
60141;870.847.795-74;PAGO;2081.52;2025-01-27;site
61565;994.580.284-42;enviado;267,71;16/03/2024;app
66480;89540017858;CANCELADO;3.369,53;26/03/2024;SITE
62200;903.169.646-38;PENDENTE;2.512,76;24/06/2025;app
68134;01130852300;pago ;1851.16;2026-04-15;App 
61172;186.747.152-30;ENVIADO;2.022,35;2025-04-12;marketplace
54227;01446419762;pago ;909.49;2024-06-25;SITE
59074;52889737845;pendente;1.100,50;2025-03-14;marketplace
62084;445.276.966-70;CANCELADO;2065.47;19/06/2026;App 
61857;16015653990;canc;3.281,12;2025-12-30;site
50960;075.791.882-44;canc;1.233,63;2026-06-11;SITE
57071;91794619054;enviado;2.220,64;2025-07-19;App 
63123;085.074.911-54;PAGO;2.510,00;26/12/2025;app
52690;79409907306;canc;2584.34;30/12/2024;SITE
62839;176.503.602-02;PENDENTE;2.707,94;26/08/2024;App 
65338;15466024104;pendente;2.291,35;2025-11-02;SITE
60038;953.428.364-92;canc;1670.04;03/05/2024;app
59441;80446007951;ENVIADO;1956.89;2024-08-25;marketplace
55002;646.693.706-26;PAGO;2.223,29;2025-01-17;app
52455;76557374877;PAGO;1.723,75;20/08/2024;SITE
51567;416.073.198-88;enviado;295,61;2025-08-06;marketplace
51280;624.755.526-11;pg;1.022,38;2026-01-08;marketplace
52729;46987168539;pago;1.275,87;2025-02-22;app
67859;205.125.322-66;PAGO;2.051,42;2025-12-19;app
67275;38200003991;CANCELADO;1421.87;2025-06-28;app
60576;087.798.087-00;canc;1.469,87;16/05/2025;app
58291;58627788880;CANCELADO;2098.96;2024-07-05;marketplace
56924;48196424051;cancelado;1.965,18;2024-01-18;site
62125;938.268.313-57;Pago;1261.47;25/02/2024;site
60113;949.957.202-35;pg;2.628,69;16/02/2024;site
61502;768.701.462-68;enviado;1510.96;2024-10-17;App 
68957;652.074.466-22;pago ;1.337,01;21/12/2025;SITE
53576;12471010377;Pago;488.82;2025-10-13;site
61101;67695979260;pendente;3157.69;18/02/2024;SITE
53342;17148541832;pendente;1971.94;2025-04-17;site
58757;37272590602;pago ;2.717,53;01/02/2025;marketplace
66415;690.436.444-04;cancelado;1.047,98;27/01/2024;site
68493;27183010074;pendente;135.02;2026-02-17;SITE
51833;067.949.078-79;pago;2510.70;20/11/2025;marketplace
56103;091.881.224-09;Pago;1120.51;09/02/2026;SITE
53257;15778711204;pg;359.76;2025-12-25;marketplace
63604;174.690.298-18;pago;2700.02;2025-10-20;SITE
57695;09466549723;pendente;767,68;08/03/2026;site
69564;28300623884;ENVIADO;2213.46;10/06/2026;SITE
52918;207.405.187-56;ENVIADO;3222.39;2025-10-13;site
63401;715.579.327-27;canc;387,11;2025-10-11;app
57543;40513748822;Pago;1894.08;2024-05-22;marketplace
59065;937.645.265-80;CANCELADO;3384.42;01/05/2025;app
50645;44442973792;pago;1.304,20;2025-07-01;site
56579;923.132.465-90;pendente;1245.91;10/04/2024;SITE
69917;628.296.536-53;CANCELADO;928.37;01/09/2025;App 
51759;467.908.773-04;cancelado;914.24;27/10/2024;site
60578;376.297.454-35;enviado;135,73;25/03/2024;SITE
55136;23374989489;pendente;1683.18;2026-05-25;app
60862;79552991080;pendente;408.47;05/09/2024;App 
54408;70529508630;Pago;1.425,82;29/08/2025;marketplace
61717;75160614095;pago ;195.45;03/06/2024;site
60830;283.606.966-08;Pago;526,30;08/08/2024;site
58338;768.519.329-97;enviado;831.30;2025-06-04;site
58957;06811492139;Pago;618,07;01/11/2025;App 
55428;117.088.948-45;pendente;1.854,56;14/02/2024;site
67584;87358566459;Pago;76.96;14/01/2025;App 
53234;311.309.637-56;ENVIADO;3331.69;2026-05-27;SITE
58870;99032384872;Pago;1259.84;2026-04-04;app
67337;42044156873;Pago;2434.98;2025-06-04;SITE
57697;171.916.849-09;Pago;273.33;2024-10-05;App 
68055;05046578441;cancelado;2.458,09;19/06/2025;SITE
66976;17082922094;ENVIADO;2.715,24;2024-12-20;App 
56521;53967379485;pg;3.398,11;05/02/2024;SITE
68879;714.351.200-19;enviado;2046.15;2025-03-12;site
53740;872.357.845-98;CANCELADO;1.449,76;20/10/2025;App 
68761;29703864708;cancelado;2.902,01;12/08/2024;marketplace
59119;581.449.147-75;PAGO;173.93;23/09/2025;site
64410;420.441.568-73;pendente;1095.96;2026-04-17;app
63060;09225450818;pg;1.205,48;01/05/2026;SITE
52104;932.528.267-47;pago ;1232.76;2024-04-28;site
61105;30116064129;cancelado;1766.55;26/04/2026;SITE
55633;38453546827;PENDENTE;1.133,44;03/04/2026;app
66615;63375984901;pago ;181,92;23/10/2024;SITE
61308;72328823947;enviado;1054.80;19/01/2025;site
55911;548.534.655-37;pg;909.61;2024-11-23;app
61235;469.025.968-24;cancelado;2462.67;14/08/2024;app
68032;87895919091;Pago;2035.90;16/06/2024;App 
54083;79970658140;pago ;1984.82;21/08/2025;marketplace
61352;93539562184;canc;276,35;22/01/2026;marketplace
50977;651.956.545-81;pago ;473,87;2026-03-06;site
69466;193.978.145-08;pendente;1366.98;2026-06-17;site
67230;15283056805;PAGO;1.101,03;2025-07-08;SITE
53417;876.096.737-49;canc;3.185,66;22/06/2024;site
57446;169.832.328-01;ENVIADO;1.861,80;2026-06-17;app
62840;72188566670;pendente;3274.87;2024-02-11;site
56076;04524205209;PAGO;2427.39;2026-04-27;marketplace
54206;15698322937;pago;3164.88;2025-08-27;SITE
56139;87521932684;pg;278,06;2024-09-03;App 
53987;752.245.933-87;Pago;3198.24;2024-03-18;App 
61256;036.326.237-75;pago ;1422.36;2025-02-21;site
60323;965.105.920-61;pago;2045.08;23/08/2025;app
58081;007.386.543-53;cancelado;130.00;2024-02-22;app
54716;86449760281;CANCELADO;2.664,31;2025-09-02;App 
62126;214.547.816-70;PENDENTE;2.178,11;31/05/2025;app
61270;722.700.489-97;canc;2415.28;15/08/2025;App 
60019;01946701475;PENDENTE;2029.31;31/07/2024;App 
69672;090.435.184-09;PAGO;1.277,57;2024-08-19;site
56683;03486451804;Pago;349.58;2025-01-15;marketplace
55708;30564184969;enviado;1.710,09;2024-02-28;app
54528;49738400848;enviado;2.885,17;31/08/2024;App 
60492;40289443849;CANCELADO;3.114,24;2026-05-04;site
65185;580.843.196-47;enviado;2654.38;2025-05-30;marketplace
66062;760.830.735-88;enviado;3189.48;13/01/2024;SITE
59101;17650360202;pendente;296,89;2026-04-29;SITE
57741;14056502579;ENVIADO;1.367,71;09/11/2024;App 
56734;043.422.997-04;pago;201,68;29/07/2025;marketplace
50685;50243736185;PENDENTE;885.46;18/02/2025;app
62207;986.068.144-90;pg;499,49;11/09/2024;App 
68248;596.351.875-05;PAGO;142,62;2024-01-22;app
56412;52085076920;pago;409.44;2024-03-20;App 
67752;11407813676;cancelado;247,91;23/08/2025;marketplace
65878;376.815.118-22;PENDENTE;2907.52;2024-01-29;App 
66005;04162742260;cancelado;2812.62;12/06/2026;site
58023;86384066653;PENDENTE;1.096,13;2024-10-18;site
64633;432.969.142-69;cancelado;3006.80;13/11/2024;site
58059;29545038071;pago;687.98;2024-05-29;marketplace
53153;89523617923;canc;3.220,42;07/06/2025;app
56553;747.693.045-28;enviado;2626.55;2025-05-11;App 
59438;03002143677;CANCELADO;958,84;2026-05-15;app
65543;09549686116;canc;2.414,64;17/05/2026;site
50519;37390071338;pendente;638.15;2024-02-23;app
58760;619.768.138-24;CANCELADO;1.727,21;2026-02-26;site
50409;73690789494;pg;220.76;28/02/2026;SITE
52800;70506809820;canc;2352.63;2026-06-04;SITE
57625;30667005935;pendente;3302.12;07/06/2025;app
63269;788.738.129-02;enviado;2405.02;2025-08-02;marketplace
62641;118.909.830-04;canc;460.28;2025-03-26;app
65445;75102958313;Pago;3418.22;2025-11-07;App 
65450;954.175.401-53;Pago;120.73;01/09/2025;app
57233;836.094.386-90;ENVIADO;1.232,59;24/04/2026;site
55225;302.915.854-34;pendente;1.644,18;2026-02-11;app
51325;239.677.839-02;enviado;828,28;02/11/2025;site
51367;90944675000;pendente;1.699,98;12/11/2024;App 
66949;640.368.406-06;PAGO;1433.22;2026-02-14;App 
52006;87801573943;enviado;620.44;2024-04-01;marketplace
60598;58838256721;PAGO;1.674,60;22/05/2025;marketplace
65084;59698384545;PAGO;1.854,70;2024-03-11;App 
67399;76572245845;cancelado;1553.84;2024-12-07;app
61321;074.382.039-80;canc;3312.39;10/01/2026;site
69227;44949307843;canc;1.484,13;2025-11-10;SITE
55968;637.780.529-26;Pago;1.935,73;2024-02-05;App 
56830;535.022.774-27;pg;3.439,03;2025-04-25;marketplace
67823;04201859096;pago;2.882,40;22/04/2025;site
51681;084.865.425-02;CANCELADO;1663.06;2024-10-25;app
53346;834.456.622-31;PAGO;2609.95;16/05/2026;SITE
65367;377.125.828-66;canc;2481.06;05/10/2024;marketplace
65621;49876209361;pago;3106.25;2024-04-03;site
62217;70453304303;PAGO;1.702,41;05/01/2026;app
58807;340.688.772-46;pago;1778.62;13/05/2025;app
50374;30878875280;pendente;1.900,59;2025-03-28;App 
56622;108.300.075-63;Pago;1372.68;28/02/2024;marketplace
61498;63113433800;PAGO;3141.36;11/04/2026;site
66395;09542527561;pendente;2.152,28;10/02/2024;marketplace
53109;375.811.625-24;pago ;789.89;2024-03-31;App 
67998;10707163404;pago;1376.59;2025-12-30;SITE
58791;57042402596;PAGO;2901.41;22/04/2024;marketplace
58094;69318062037;Pago;2.672,17;2024-03-05;site
67643;35917650403;pendente;3.197,68;2025-03-29;SITE
54184;25158904154;PENDENTE;1.222,21;29/11/2024;marketplace
67489;335.784.370-69;canc;477,45;2025-09-30;SITE
59629;41799654613;pendente;2250.32;2025-07-03;site
60346;133.344.762-00;pendente;1689.23;04/03/2026;app
64656;800.778.428-47;pendente;1.009,50;2025-06-17;app
63382;65761476606;canc;977,61;03/10/2024;SITE
58844;97939981641;pendente;2122.01;2025-07-31;marketplace
62451;388.349.877-72;cancelado;3217.70;08/02/2025;marketplace
52992;370.164.830-10;Pago;2.818,09;20/04/2026;SITE
61439;40046408738;Pago;1191.59;28/12/2024;app
50345;07037808830;pago ;2.492,18;30/03/2025;marketplace
65360;659.352.385-27;ENVIADO;2.579,23;2026-05-28;site
67860;51627136193;PAGO;83.31;2025-04-01;marketplace
52770;499.564.122-02;cancelado;292,30;01/03/2024;SITE
67073;246.302.578-61;enviado;2486.03;2024-02-02;SITE
55556;431.603.250-08;pendente;1.801,03;2024-08-23;SITE
53267;90056741804;canc;3.499,11;2024-11-18;SITE
61326;136.365.972-30;cancelado;2099.07;19/01/2026;app
58902;05289416820;CANCELADO;2.447,87;20/01/2026;site
51785;893.580.583-15;pago ;2.426,01;08/07/2025;app
53305;56937468601;ENVIADO;750,49;12/03/2025;App 
69613;82223943128;enviado;813.23;20/01/2024;site
66706;74100551460;pendente;1.538,33;05/07/2024;app
55194;49511918141;CANCELADO;2328.02;10/12/2024;marketplace
60642;54729284275;PAGO;2790.29;2024-11-06;marketplace
53356;481.180.829-03;pago ;1885.91;2025-03-14;app
64896;52490541374;ENVIADO;3.027,98;2024-01-20;App 
64559;06831292879;pendente;2612.26;2026-05-28;app
66065;35384762330;ENVIADO;2499.58;2025-12-19;SITE
63671;105.340.534-08;pg;1.496,83;23/02/2024;marketplace
63791;184.567.278-06;canc;1.365,56;16/03/2026;site
61648;51626116628;cancelado;949.24;2026-02-14;site
68876;15679972875;pago;712,27;2025-04-26;App 
50286;93181312592;PAGO;1649.15;2025-06-20;SITE
69743;14990941675;pago ;1978.27;04/05/2026;marketplace
51481;51962452433;canc;1.727,57;2025-03-01;SITE
58002;57248956686;CANCELADO;2833.46;28/04/2025;site
57385;785.379.821-05;PENDENTE;2054.39;2025-07-31;site
61041;676.218.743-92;pago;1219.22;24/07/2024;App 
61726;605.723.647-50;enviado;954.73;2026-05-05;App 
62150;496.895.092-68;pago;2.911,72;2024-06-05;site
60938;196.757.761-70;ENVIADO;919,34;2025-04-28;App 
68143;09846856008;cancelado;3.131,94;2024-12-31;app
68110;855.704.193-49;pendente;3.284,57;25/11/2025;app
61754;282.901.832-09;PENDENTE;1.720,67;2026-03-30;site
54611;37558491274;PAGO;1536.56;17/01/2024;site
63990;046.907.439-67;pg;2.743,47;02/12/2024;SITE
56374;27879244760;PENDENTE;2.514,17;22/09/2024;SITE
60783;056.446.853-30;PENDENTE;396,11;2024-01-29;marketplace
50015;150.765.233-00;pendente;855.95;09/10/2024;App 
62547;32951662181;pg;900.81;2025-09-21;marketplace
66090;393.049.366-75;PAGO;1700.23;2025-03-22;App 
62311;737.238.615-20;cancelado;3145.15;2024-02-22;App 
68017;449.035.934-95;CANCELADO;2.831,76;2024-11-02;App 
60476;36633756178;canc;1.321,37;21/05/2026;App 
58169;141.115.816-41;cancelado;1746.28;03/02/2026;site
63422;883.626.961-33;PAGO;2830.74;23/08/2024;app
67606;68335391033;Pago;2.833,10;2025-04-14;app
51219;37589975770;PAGO;336,12;03/01/2025;SITE
54552;314.919.058-40;pago ;2327.43;11/02/2025;marketplace
69041;386.020.508-01;cancelado;1.347,49;30/07/2024;app
67321;95533089292;PAGO;1.092,03;23/03/2025;marketplace
60251;64908474931;cancelado;1.758,39;2024-06-23;site
57408;124.210.637-52;cancelado;639.34;23/01/2025;App 
61072;739.889.413-95;pago ;3.265,81;2024-10-05;site
69273;22182315578;pg;2.873,58;2024-06-27;marketplace
65346;278.447.534-47;canc;3206.06;2025-08-18;app
59415;72985407184;Pago;3.406,93;06/06/2025;App 
50780;10433218100;enviado;1076.87;2026-02-20;site
56384;792.449.403-02;pago ;1583.93;04/05/2024;App 
69166;451.285.891-10;ENVIADO;2.354,31;2024-05-14;app
58517;661.094.101-79;Pago;2.688,03;15/01/2024;app
64889;653.222.470-76;ENVIADO;2795.66;2024-04-11;site
68840;623.773.813-40;pendente;2.425,33;2025-01-12;app
54261;50230899676;PENDENTE;848,61;2024-08-04;SITE
54005;750.682.337-30;canc;1.405,65;2024-09-20;site
56855;77705503786;PAGO;2246.49;2026-06-01;SITE
68006;44146332737;canc;1031.69;08/03/2024;app
50719;071.002.458-42;enviado;2.262,83;04/02/2025;App 
53784;25289404325;pago;1422.66;2025-06-26;marketplace
