id_legado;cpf;nome;email;cidade;dt_cadastro
3867;19475052208;Maria Gonçalves;maria.goncalves2867@gmail.com;Sorocaba;28/02/2022
6089;71132723558;Sebastião Gonçalves;sebastiao.goncalves5089@gmail.com;Sorocaba;2019-10-06
4982;606.868.663-99;Luís Silva;luis.silva3982@gmail.com;Goiânia;20/01/2025
6986;353.033.679-32;José Barbosa;jose.barbosa5986@gmail.com;Campinas;19-06-20
4133;56108010363;José Gonçalves;jose.goncalves3133@gmail.com;valinhos;28/01/2023
2891;94234037001;Ana Araújo;ana.araujo1891@gmail.com;Rio de Janeiro;10/01/2025
1519;76915671625;Ana Gonçalves;ana.goncalves519@gmail.com;Niterói;2019-05-11
3073;78420555568;Mônica Assunção;monica.assuncao2073@gmail.com;São Paulo;15-10-24
1399;284276294;Sebastião Simões;sebastiao.simões399@gmail.com;Niterói;2025-01-18
6358;010.256.982-74;André Simões;andre.simões5358@gmail.com;Niterói;2020-01-01
3468;69708567558;João Assunção;joao.assuncao2468@gmail.com;Goiânia;18-08-25
1864;75367497837;Antônio Machado;antonio.machado864@gmail.com;Campinas;30/05/2023
3563;962.438.409-64;André Gonçalves;andre.goncalves2563@gmail.com; Sorocaba  ;24/12/2022
3877;259.212.985-57;André Gonçalves;andre.goncalves2877@gmail.com;Curitiba;27/10/2020
2373;15605879030;José Ribeiro;jose.ribeiro1373@gmail.com;rio de janeiro;2023-12-17
2670;97034251940;João Souza;joao.souza1670@gmail.com; Curitiba  ;15/06/2023
1711;56075409106;João Barbosa;joao.barbosa711@gmail.com;rio de janeiro;31/05/2020
5552;408.522.861-71;Célia Gonçalves;celia.goncalves4552@gmail.com;Goiânia;2023-03-26
12754;17274600303;MARIA SILVA;contato3754@hotmail.com;Santo André;03/12/2024
9588;07279103375;Célia Ribeiro;celia.goncalves588@gmail.com;Rio de Janeiro;2025-06-20
14501;81494411156;ANDRÉ RIBEIRO;andre.ribeiro5501@gmail.com;Goiânia;23-02-22
5802;36763485247;Conceição Gonçalves;conceicao.goncalves4802@gmail.com; Curitiba  ;26/01/2020
2396;686.083.570-20;Luís Silva;luis.silva1396@gmail.com;goiânia;06/05/2022
4229;854.376.730-00;Célia Assunção;celia.assuncao3229@gmail.com;Campinas;11-02-22
6066;59221693350;Mônica Araújo;monica.araujo5066@gmail.com;Campinas;25-05-23
6321;57750297553;Patrícia Machado;patricia.machado5321@gmail.com;NITERÓI;12/11/2019
6866;66556212679;Luís Souza;luis.souza5866@gmail.com;são paulo;2022-01-04
2747;59674333843;Fábio Peçanha;fabio.pecanha1747@gmail.com;Curitiba;2025-05-13
4791;032.897.957-05;André Simões;andre.simões3791@gmail.com; Belo Horizonte  ;2025-08-14
6272;32010735552;Válter Souza;valter.souza5272@gmail.com;São Paulo;21-10-20
2635;68856846780;Mônica Simões;monica.simões1635@gmail.com;Niterói;2025-03-09
1103;109.439.690-77;Mônica Barbosa;monica.barbosa103@gmail.com;Belo Horizonte;2023-07-22
3151;37229821037;Ana Assunção;ana.assuncao2151@gmail.com;Valinhos;18/02/2021
5854;879.432.050-06;João Machado;joao.machado4854@gmail.com;Belo Horizonte;13-09-25
6847;96219765885;Mônica Silva;monica.silva5847@gmail.com;Campinas;10-12-22
1541;12901487084;Sebastião Barbosa;sebastiao.barbosa541@gmail.com;Valinhos;20/12/2024
4736;43593939460;Luís Gonçalves;luis.goncalves3736@gmail.com;Valinhos;2024-09-24
1215;32309821500;Patrícia Silva;patricia.silva215@gmail.com;Belo Horizonte;29-08-25
1786;67181535242;Válter Simões;valter.simões786@gmail.com; GOIÂNIA  ;21-05-24
3589;872.937.062-00;Conceição Barbosa;conceicao.barbosa2589@gmail.com;Rio de Janeiro;13-02-23
3195;737.238.615-20;José Barbosa;jose.barbosa2195@gmail.com;Curitiba;2025-09-22
6756;65911799685;Maria Souza;maria.souza5756@gmail.com;Valinhos;24-01-25
5381;06180203148;Sebastião Simões;sebastiao.simões4381@gmail.com;curitiba;2023-08-10
2292;66765272860;Conceição Araújo;conceicao.araujo1292@gmail.com;Belo Horizonte;2023-03-11
2527;50162762933;Sebastião Peçanha;sebastiao.pecanha1527@gmail.com;Santo André;23-05-25
5127;31672900301;Válter Ribeiro;valter.ribeiro4127@gmail.com;São Paulo;07-11-21
3607;635.333.501-69;André Gonçalves;andre.goncalves2607@gmail.com; Curitiba  ;2025-06-18
6940;32658827644;Maria Assunção;N/A;São Paulo;23-09-25
2841;95301203380;João Souza;joao.souza1841@gmail.com;Santo André;20-03-23
6926;47149497489;Fábio Gonçalves;fabio.goncalves5926@gmail.com;Sorocaba;2019-04-10
1059;21047095203;Antônio Assunção;antonio.assuncao59@gmail.com;valinhos;07-02-23
9447;28843188445;Patrícia Gonçalves;N/A;Rio de Janeiro;28/09/2023
5334;34177921181;João Assunção;joao.assuncao4334@gmail.com;Curitiba;09/04/2019
3859;72108727442;Maria Silva;maria.silva2859@gmail.com;Curitiba;2022-12-03
3812;48786015079;Patrícia Araújo;patricia.araujo2812@gmail.com;Rio de Janeiro;29/07/2022
6147;82781469696;Sebastião Simões;sebastiao.simões5147@gmail.com;Niterói;12-06-22
13673;91712320955;Conceição Assunção;contato4673@hotmail.com;São Paulo;24-03-23
4080;334.299.508-48;José Gonçalves;jose.goncalves3080@gmail.com; goiânia  ;2019-08-20
4381;00833418700;Maria Assunção;maria.assuncao3381@gmail.com;São Paulo;06/03/2021
4868;17333856810;Sebastião Machado;sebastiao.machado3868@gmail.com;Curitiba;2019-09-03
2831;82521288667;João Assunção;joao.assuncao1831@gmail.com;Niterói;2025-10-17
2099;27558214777;João Machado;joao.machado1099@gmail.com;SOROCABA;25-10-20
3124;98872754410;João Peçanha;joao.pecanha2124@gmail.com; Santo André  ;23-10-25
1766;64176927445;Maria Souza;maria.souza766@gmail.com;Niterói;2021-09-15
1036;572.628.498-40;Luís Peçanha;luis.pecanha36@gmail.com;Niterói;2019-12-21
3237;902.948.494-24;Válter Ribeiro;valter.ribeiro2237@gmail.com;Curitiba;04/08/2023
4716;42713424755;Mônica Ribeiro;monica.ribeiro3716@gmail.com;NITERÓI;2022-07-12
2771;819.484.226-38;Ana Silva;-;São Paulo;12/09/2021
3193;898.683.212-71;Sebastião Souza;sebastiao.souza2193@gmail.com;Niterói;31-05-19
6096;567.192.012-47;Válter Ribeiro;valter.ribeiro5096@gmail.com;Campinas;2022-12-13
5174;86523204200;Mônica Ribeiro;monica.ribeiro4174@gmail.com;Belo Horizonte;07-12-21
1136;00886008409;Antônio Silva;antonio.silva136@gmail.com;Goiânia;14-03-20
5069;710.564.006-50;Antônio Souza;antonio.souza4069@gmail.com;Goiânia;21-06-20
4628;30731397290;Célia Simões;celia.simões3628@gmail.com;Santo André;11/05/2021
2707;966.771.539-68;José Gonçalves;jose.goncalves1707@gmail.com;Valinhos;2021-08-25
5955;04366899523;Antônio Souza;antonio.souza4955@gmail.com;curitiba;29/05/2020
4002;93289401170;Válter Araújo;valter.araujo3002@gmail.com;Rio de Janeiro;27-02-24
4544;547.209.264-79;Sebastião Assunção;sebastiao.assuncao3544@gmail.com;Niterói;2025-08-30
2724;749.066.886-75;Maria Barbosa;maria.barbosa1724@gmail.com; Sorocaba  ;2022-05-31
1247;99693084837;Célia Simões;celia.simões247@gmail.com;Valinhos;2025-08-12
13606;036.465.761-89;PATRÍCIA SILVA;patricia.silva4606@gmail.com;Valinhos;2024-08-05
3002;363.270.561-56;Sebastião Assunção;sebastiao.assuncao2002@gmail.com;Belo Horizonte;09/09/2019
6686;914.804.054-18;Luís Araújo;luis.araujo5686@gmail.com;CURITIBA;24-01-23
5221;92611980900;Sebastião Silva;sebastiao.silva4221@gmail.com;Niterói;30-09-21
5314;39142037573;Fábio Ribeiro;fabio.ribeiro4314@gmail.com;belo horizonte;29/04/2019
4070;00227962400;José Simões;jose.simões3070@gmail.com; Belo Horizonte  ;13-02-19
2975;523.029.996-73;Ana Silva;ana.silva1975@gmail.com;Valinhos;2023-06-25
3399;72668490553;Mônica Peçanha;monica.pecanha2399@gmail.com;santo andré;2021-02-22
4745;74475636507;Célia Araújo;celia.araujo3745@gmail.com;SOROCABA;2020-11-02
4610;20687217083;André Peçanha;andre.pecanha3610@gmail.com; Sorocaba  ;2025-04-04
2544;62510857380;Célia Assunção;celia.assuncao1544@gmail.com;Curitiba;02-11-23
3374;05130696743;Patrícia Gonçalves;patricia.goncalves2374@gmail.com;Curitiba;17/01/2024
2943;12223954871;Luís Silva;luis.silva1943@gmail.com;Rio de Janeiro;2024-11-21
5432;31246740060;Antônio Silva;antonio.silva4432@gmail.com;Rio de Janeiro;12/03/2022
4763;84709319545;Mônica Machado;monica.machado3763@gmail.com;NITERÓI;26-09-21
6431;84034499176;Conceição Ribeiro;-;Sorocaba;2019-03-23
4584;53139783736;Sebastião Peçanha;sebastiao.pecanha3584@gmail.com;Niterói;2024-05-26
1969;94620726630;Fábio Gonçalves;fabio.goncalves969@gmail.com;Santo André;08-07-24
1204;10357972759;Conceição Assunção;conceicao.assuncao204@gmail.com;Belo Horizonte;2022-03-13
4712;14109244323;Conceição Ribeiro;N/A;Goiânia;14-03-22
3282;10907444717;Ana Machado;ana.machado2282@gmail.com;Campinas;26/10/2021
1395;16781126660;Maria Gonçalves;maria.goncalves395@gmail.com;Rio de Janeiro;14/07/2023
3875;18815675400;Ana Assunção;ana.assuncao2875@gmail.com;Curitiba;14/02/2024
6784;60004083903;Mônica Peçanha;monica.pecanha5784@gmail.com;Goiânia;09-05-19
2818;74450999800;José Ribeiro;jose.ribeiro1818@gmail.com;Rio de Janeiro;18/08/2025
1376;547.292.842-75;Válter Gonçalves;valter.goncalves376@gmail.com;CAMPINAS;2020-06-02
6682;095.233.631-66;Antônio Peçanha;antonio.pecanha5682@gmail.com;Campinas;2022-11-20
1487;826.333.738-01;Célia Simões;celia.simões487@gmail.com; Sorocaba  ;08-02-21
6495;88508542429;Válter Gonçalves;valter.goncalves5495@gmail.com; Valinhos  ;14/04/2022
5806;859.306.084-66;Mônica Gonçalves;monica.goncalves4806@gmail.com;campinas;18/08/2025
2359;933.356.230-37;Fábio Simões;fabio.simões1359@gmail.com;São Paulo;2019-08-07
9056;221.969.379-16;Luís Barbosa;luis.ribeiro56@gmail.com;São Paulo;24-03-22
1876;81785228293;João Assunção;joao.assuncao876@gmail.com; Belo Horizonte  ;2024-08-28
6415;93960733186;Sebastião Peçanha;sebastiao.pecanha5415@gmail.com; Belo Horizonte  ;2020-06-03
3147;68415463502;Conceição Simões;conceicao.simões2147@gmail.com;Campinas;2020-03-19
5134;76214163518;José Souza;jose.souza4134@gmail.com;Campinas;2020-05-07
5389;15698322937;Maria Barbosa;maria.barbosa4389@gmail.com;Valinhos;28-10-25
4282;283.006.238-84;Ana Machado;ana.machado3282@gmail.com;CURITIBA;2020-01-01
6471;34530395138;Sebastião Barbosa;sebastiao.barbosa5471@gmail.com;Sorocaba;05/12/2022
6829;27115235783;Antônio Barbosa;antonio.barbosa5829@gmail.com;SANTO ANDRÉ;2023-02-16
4320;52601772662;Célia Souza;celia.souza3320@gmail.com;RIO DE JANEIRO;2020-02-08
3160;237.793.980-52;Mônica Gonçalves;monica.goncalves2160@gmail.com;SÃO PAULO;14/08/2024
1167;19656523440;Ana Barbosa;ana.barbosa167@gmail.com;Niterói;2019-04-20
6006;16771086658;Patrícia Ribeiro;patricia.ribeiro5006@gmail.com;Rio de Janeiro;14-08-19
2419;30291585434;Válter Araújo;valter.araujo1419@gmail.com;BELO HORIZONTE;08-03-23
5045;94397150141;Válter Araújo;valter.araujo4045@gmail.com;Campinas;11/08/2025
2054;75365968042;Conceição Gonçalves;conceicao.goncalves1054@gmail.com;Belo Horizonte;07-06-20
5229;15339583350;Válter Peçanha;valter.pecanha4229@gmail.com;NITERÓI;01-12-24
6700;47398470940;Mônica Ribeiro;monica.ribeiro5700@gmail.com;Goiânia;30-01-20
5411;95297480272;Ana Araújo;ana.araujo4411@gmail.com;curitiba;2024-10-16
4760;144.079.043-48;Fábio Araújo;fabio.araujo3760@gmail.com;Campinas;06/04/2022
1669;853.800.329-15;Ana Araújo;ana.araujo669@gmail.com;Valinhos;27/07/2024
4675;14266244339;Luís Silva;luis.silva3675@gmail.com;CAMPINAS;07/08/2019
2301;96173009900;André Barbosa;andre.barbosa1301@gmail.com;Curitiba;21-02-21
3221;67851506638;Célia Souza;celia.souza2221@gmail.com;SOROCABA;2023-08-31
6992;475.862.187-06;Mônica Silva;monica.silva5992@gmail.com;Curitiba;2020-09-23
6105;96360402491;André Souza;andre.souza5105@gmail.com;Sorocaba;2022-05-02
3745;580.843.196-47;José Souza;jose.souza2745@gmail.com;Sorocaba;24/04/2019
6666;030.185.077-11;Fábio Assunção;fabio.assuncao5666@gmail.com;Niterói;14/04/2020
1409;416.516.231-04;Célia Souza;celia.souza409@gmail.com;Niterói;28/10/2021
3617;95473564291;André Gonçalves;andre.goncalves2617@gmail.com; Rio de Janeiro  ;04-11-25
2014;62093556170;André Silva;andre.silva1014@gmail.com;Rio de Janeiro;15-11-22
3663;40289443849;Célia Gonçalves;celia.goncalves2663@gmail.com;Niterói;10-05-20
14822;86724030536;Mônica Barbosa;contato5822@hotmail.com;Santo André;14-12-23
5977;65533517405;André Ribeiro;andre.ribeiro4977@gmail.com;Santo André;04-03-20
12753;75840531812;SEBASTIÃO ASSUNÇÃO;contato3753@hotmail.com;valinhos;05-04-24
3900;618.098.098-51;João Ribeiro;NULL;Rio de Janeiro;2020-08-23
3452;42468473213;Patrícia Assunção;patricia.assuncao2452@gmail.com;Goiânia;15-06-25
6705;66582381466;Patrícia Machado;patricia.machado5705@gmail.com;Santo André;19/01/2024
6974;60553782991;Conceição Machado;conceicao.machado5974@gmail.com;Sorocaba;2024-02-10
4782;69667349500;Célia Peçanha;celia.pecanha3782@gmail.com;Campinas;2019-07-03
1443;03754821482;Patrícia Peçanha;patricia.pecanha443@gmail.com;rio de janeiro;24/09/2023
3067;72239567201;Luís Peçanha;luis.pecanha2067@gmail.com;Campinas;23-09-25
5821;37558491274;José Peçanha;jose.pecanha4821@gmail.com;belo horizonte;2022-01-06
4026;28954058400;Antônio Araújo;antonio.araujo3026@gmail.com;Niterói;01-07-20
5207;497.384.008-48;Válter Silva;valter.silva4207@gmail.com;VALINHOS;14-05-24
5034;118.570.010-28;José Silva;jose.silva4034@gmail.com;sorocaba;2023-11-24
1811;4655866519;Conceição Ribeiro;conceicao.ribeiro811@gmail.com; Sorocaba  ;17/01/2024
3264;45541892520;Célia Araújo;celia.araujo2264@gmail.com;SÃO PAULO;06/07/2023
3462;46168444610;Antônio Assunção;antonio.assuncao2462@gmail.com;Santo André;2021-10-26
6957;83740255226;Patrícia Barbosa;patricia.barbosa5957@gmail.com; São Paulo  ;2021-06-25
1343;9494079256;Mônica Ribeiro;monica.ribeiro343@gmail.com;NITERÓI;03/06/2020
5204;4677933871;Conceição Silva;conceicao.silva4204@gmail.com;Sorocaba;2020-10-04
6251;54198932077;Célia Machado;celia.machado5251@gmail.com;Goiânia;17/07/2022
3256;75257448823;Válter Assunção;valter.assuncao2256@gmail.com;Goiânia;06-06-25
6072;47141167382;Fábio Peçanha;fabio.pecanha5072@gmail.com;CURITIBA;2023-11-07
4865;24938713837;Patrícia Gonçalves;patricia.goncalves3865@gmail.com;Rio de Janeiro;2021-12-13
6449;295.691.035-31;André Souza;andre.souza5449@gmail.com;Belo Horizonte;11-06-25
1138;1666870064;Maria Simões;maria.simões138@gmail.com;Curitiba;26/01/2020
6062;30896126900;Sebastião Assunção;sebastiao.assuncao5062@gmail.com;CURITIBA;18/04/2024
4350;26945058301;João Simões;joao.simões3350@gmail.com;Santo André;19-06-25
6002;30759257990;Mônica Peçanha;monica.pecanha5002@gmail.com; SANTO ANDRÉ  ;2019-03-20
5525;593.016.849-00;Luís Souza;luis.souza4525@gmail.com;Valinhos;28/02/2020
4394;27879244760;André Simões;andre.simões3394@gmail.com; Campinas  ;2023-05-25
2645;626.439.567-61;Antônio Ribeiro;antonio.ribeiro1645@gmail.com;São Paulo;2019-04-02
6300;71491696869;Válter Silva;valter.silva5300@gmail.com;Niterói;13-01-19
5120;552.500.308-23;Patrícia Simões;patricia.simões4120@gmail.com; Sorocaba  ;15-12-20
1252;36517773916;Válter Peçanha;;Valinhos;30-09-24
3118;74054586619;José Ribeiro;jose.ribeiro2118@gmail.com;Sorocaba;2024-06-26
5379;59419045412;João Peçanha;joao.pecanha4379@gmail.com;Sorocaba;2025-10-30
2794;61741364426;Patrícia Assunção;patricia.assuncao1794@gmail.com;Sorocaba;17-10-20
5866;82041292547;Sebastião Machado;sebastiao.machado4866@gmail.com;rio de janeiro;12-11-21
5756;806.187.001-02;Sebastião Assunção;sebastiao.assuncao4756@gmail.com;VALINHOS;2023-01-18
1216;100.167.618-12;André Gonçalves;andre.goncalves216@gmail.com;São Paulo;01-11-24
6467;83931340309;Sebastião Silva;sebastiao.silva5467@gmail.com;Rio de Janeiro;2022-11-02
4773;18821076083;Patrícia Machado;patricia.machado3773@gmail.com;Curitiba;2024-03-12
10094;944.953.006-87;Sebastião Araújo;sebastiao.goncalves1094@gmail.com;são paulo;2019-02-15
1223;375.628.900-13;José Barbosa;jose.barbosa223@gmail.com; Sorocaba  ;06/07/2024
4083;736.518.849-96;Célia Peçanha;celia.pecanha3083@gmail.com;campinas;29/03/2019
4244;23345015498;Luís Peçanha;luis.pecanha3244@gmail.com;Santo André;26/11/2023
4680;74219404724;Fábio Souza;fabio.souza3680@gmail.com; SOROCABA  ;2023-09-07
2426;01779152426;Sebastião Souza;sebastiao.souza1426@gmail.com;São Paulo;2022-12-06
1154;785.969.691-60;Válter Simões;valter.simões154@gmail.com;Belo Horizonte;02/07/2020
2910;16122150339;Válter Peçanha;valter.pecanha1910@gmail.com;Curitiba;21-08-24
3022;91949081761;Válter Araújo;valter.araujo2022@gmail.com;Sorocaba;2024-11-30
1646;67111483715;Válter Assunção;valter.assuncao646@gmail.com;Rio de Janeiro;2023-02-11
6419;18752882870;João Gonçalves;joao.goncalves5419@gmail.com;Valinhos;2020-06-09
5524;46462250771;Sebastião Gonçalves;sebastiao.goncalves4524@gmail.com;Santo André;03/02/2025
5946;016.244.400-10;Ana Simões;ana.simões4946@gmail.com;Valinhos;07/09/2020
2414;05218799300;André Ribeiro;andre.ribeiro1414@gmail.com;Belo Horizonte;07/05/2021
5773;46934432207;Célia Araújo;celia.araujo4773@gmail.com;Valinhos;02-02-19
1152;12382825804;Luís Araújo;luis.araujo152@gmail.com;valinhos;09-06-23
2809;42853541606;Maria Machado;maria.machado1809@gmail.com;Niterói;2019-03-22
5771;597.324.605-12;Patrícia Silva;patricia.silva4771@gmail.com; Valinhos  ;14/07/2020
4065;73313424104;Mônica Simões;monica.simões3065@gmail.com;Santo André;31/05/2023
6532;33775312897;Luís Machado;luis.machado5532@gmail.com;RIO DE JANEIRO;2020-08-04
5856;693.215.299-18;Válter Peçanha;valter.pecanha4856@gmail.com;Sorocaba;2024-11-15
6243;37881581409;João Barbosa;joao.barbosa5243@gmail.com;Valinhos;2020-08-04
3436;22331256730;Conceição Silva;conceicao.silva2436@gmail.com;Rio de Janeiro;2023-10-23
1569;52366878885;Célia Araújo;celia.araujo569@gmail.com;Niterói;17/06/2021
4830;22413295097;José Araújo;jose.araujo3830@gmail.com;Valinhos;10-05-20
6190;10059482753;Patrícia Peçanha;patricia.pecanha5190@gmail.com;São Paulo;02/04/2020
1909;73095055650;João Assunção;joao.assuncao909@gmail.com; CAMPINAS  ;02/11/2024
1590;89286646402;Válter Souza;valter.souza590@gmail.com; CAMPINAS  ;2023-08-12
1771;574.238.856-06;Patrícia Gonçalves;patricia.goncalves771@gmail.com;Campinas;2021-07-21
1932;61632488809;Fábio Machado;fabio.machado932@gmail.com;sorocaba;22-12-24
3785;712.207.250-99;Antônio Assunção;antonio.assuncao2785@gmail.com; Valinhos  ;20-10-24
5249;259.574.859-93;Ana Araújo;ana.araujo4249@gmail.com;Curitiba;2021-07-04
6326;83083393369;Sebastião Gonçalves;sebastiao.goncalves5326@gmail.com; BELO HORIZONTE  ;19/05/2019
1905;25144881173;Válter Souza;valter.souza905@gmail.com; São Paulo  ;11/01/2022
1822;42549691989;Antônio Assunção;antonio.assuncao822@gmail.com;Valinhos;2019-09-16
4753;758.405.318-12;Sebastião Assunção;sebastiao.assuncao3753@gmail.com;valinhos;05-04-24
1325;405.682.996-98;Maria Ribeiro;maria.ribeiro325@gmail.com;Curitiba;22/12/2019
2874;35163832670;André Barbosa;andre.barbosa1874@gmail.com;Campinas;09/07/2019
2611;89142330220;José Simões;jose.simões1611@gmail.com;Belo Horizonte;24/05/2024
4291;62204377139;Válter Ribeiro;valter.ribeiro3291@gmail.com;sorocaba;2025-07-21
1517;553.566.905-92;Patrícia Souza;-;VALINHOS;13-12-24
12139;999.868.919-81;JOÃO SIMÕES;joao.simões3139@gmail.com;Goiânia;25-05-23
4941;892.930.907-08;José Assunção;jose.assuncao3941@gmail.com; São Paulo  ;22/01/2019
4114;75657799038;Célia Araújo;celia.araujo3114@gmail.com;BELO HORIZONTE;03-09-24
6022;413.531.234-99;Fábio Gonçalves;fabio.goncalves5022@gmail.com;Niterói;14/07/2021
2976;03079915470;Válter Silva;valter.silva1976@gmail.com;sorocaba;26-04-20
5635;60253344123;Patrícia Souza;patricia.souza4635@gmail.com; valinhos  ;24/04/2025
6966;076.567.385-17;Maria Simões;maria.simões5966@gmail.com;Belo Horizonte;14-10-19
3183;663.340.142-69;Sebastião Araújo;sebastiao.araujo2183@gmail.com;curitiba;17/05/2021
2920;145.968.891-04;Fábio Peçanha;fabio.pecanha1920@gmail.com;Niterói;2019-07-18
1244;41397552379;Fábio Souza;fabio.souza244@gmail.com;Curitiba;06-06-22
5721;22125847256;Luís Ribeiro;luis.ribeiro4721@gmail.com;Belo Horizonte;2021-07-19
2733;608.123.927-60;Antônio Ribeiro;antonio.ribeiro1733@gmail.com;NITERÓI;04/03/2021
6531;19670310539;André Simões;andre.simões5531@gmail.com;SANTO ANDRÉ;2020-08-26
12346;82826674048;João Assunção;joao.silva3346@gmail.com;Sorocaba;17-04-22
5196;25395639454;Célia Simões;celia.simões4196@gmail.com;Valinhos;26-07-25
4125;00989727408;André Assunção;andre.assuncao3125@gmail.com;RIO DE JANEIRO;06/04/2022
5333;14976423611;Maria Simões;maria.simões4333@gmail.com;são paulo;03/07/2022
1295;08240433596;Válter Ribeiro;valter.ribeiro295@gmail.com;Santo André;25/09/2020
3848;67709521819;Conceição Barbosa;conceicao.barbosa2848@gmail.com;Goiânia;05/12/2021
2312;62643850009;Ana Simões;ana.simões1312@gmail.com;Belo Horizonte;10/10/2023
1142;619.431.142-85;Patrícia Gonçalves;patricia.goncalves142@gmail.com; Curitiba  ;2022-06-16
3108;462.176.434-99;Ana Machado;ana.machado2108@gmail.com;Campinas;2023-03-27
4484;392.223.042-33;Ana Simões;ana.simões3484@gmail.com;Niterói;06-05-19
4440;36231755363;Luís Araújo;luis.araujo3440@gmail.com;Sorocaba;10-06-21
5167;105.340.534-08;Antônio Machado;antonio.machado4167@gmail.com;RIO DE JANEIRO;25-07-19
6953;775.823.165-92;Sebastião Ribeiro;sebastiao.ribeiro5953@gmail.com;São Paulo;12-12-19
5415;99408477260;Luís Gonçalves;luis.goncalves4415@gmail.com;Niterói;16/02/2024
3964;822.044.843-18;Maria Machado;maria.machado2964@gmail.com;SANTO ANDRÉ;2025-07-28
1675;10835832805;André Araújo;andre.araujo675@gmail.com;Valinhos;02-06-21
1352;17410119497;João Simões;joao.simões352@gmail.com;São Paulo;27-12-21
5916;38295536338;André Simões;andre.simões4916@gmail.com; Rio de Janeiro  ;30-06-21
4664;04768098517;Sebastião Barbosa;sebastiao.barbosa3664@gmail.com; CURITIBA  ;2024-11-23
2119;26140489334;José Peçanha;jose.pecanha1119@gmail.com;Belo Horizonte;24/05/2021
1493;859.777.901-20;Luís Assunção;luis.assuncao493@gmail.com;Belo Horizonte;18/12/2020
2935;544.225.351-02;Luís Barbosa;luis.barbosa1935@gmail.com;Valinhos;2021-10-19
2320;44370661897;Válter Assunção;valter.assuncao1320@gmail.com;Belo Horizonte;2020-06-22
2714;70940422484;Sebastião Ribeiro;sebastiao.ribeiro1714@gmail.com;Niterói;05/03/2023
5168;99345651373;João Simões;joao.simões4168@gmail.com;Valinhos;13-08-22
1986;915.624.152-63;Conceição Simões;conceicao.simões986@gmail.com;Curitiba;04-12-20
2032;758.839.785-33;João Barbosa;joao.barbosa1032@gmail.com; São Paulo  ;2024-04-26
4829;85570419349;João Peçanha;joao.pecanha3829@gmail.com;Campinas;22/05/2020
5853;70887044980;Sebastião Silva;sebastiao.silva4853@gmail.com;Rio de Janeiro;2024-05-17
